766	765	782	781	766	773	766	765	758	750	758	758	750	750
695	672	672	695	617	649	695	758	773	1516	742	766	734	750
688	640	633	625	609	610	601	594	594	586	570	578	555	570
836	828	820	821	820	805	797	781	781	742	735	711	734	773
860	883	882	891	906	899	851	907	937	906	930	938	898	883
750	766	703	719	765	782	804	813	828	773	704	710	727	719
1118	1117	1117	1133	1156	1156	1196	1140	1141	1133	1078	2218	1109	1086
601	633	672	695	750	766	789	781	828	766	750	734	656	625
828	836	851	867	868	843	907	929	891	883	906	906	875	836
828	782	820	883	820	852	867	820	821	867	836	765	797	797
1133	1149	1203	1140	1204	1179	1156	1102	953	938	890	867	891	1070
899	843	938	914	891	929	945	899	945	899	929	969	922	890
742	789	797	789	860	898	867	899	789	992	859	891	883	867
985	984	985	992	984	1016	1054	1047	1094	1094	1070	1094	976	969
1156	1187	1219	1219	1219	1203	1195	1211	1219	1203	1117	984	1000	1453
789	796	797	805	813	789	812	797	812	766	797	812	790	789
695	695	703	735	719	703	734	742	719	734	758	774	789	765
594	601	610	593	594	594	609	586	594	602	632	618	609	594
1125	1118	1007	1118	1101	1094	1086	1156	1188	1039	1117	1156	1000	1047
765	758	781	805	836	797	773	781	797	813	820	797	773	758
719	703	711	695	703	672	688	672	679	680	687	688	703	711
1133	1102	1148	1039	1125	1117	1094	1117	1110	1117	1109	1102	1117	1070
1078	1125	1110	1117	1078	1062	1102	1101	1063	1055	1070	1055	1054	1008
1015	883	1078	852	843	914	1024	1109	1102	1055	1132	1125	1118	1093
843	938	914	891	929	945	899	945	899	929	969	922	890	969
953	976	914	946	961	921	954	953	890	938	953	945	891	914
859	883	898	922	992	1008	1039	1125	1125	1110	882	977	1031	992
718	711	719	680	687	688	687	703	719	695	696	687	703	719
930	968	977	883	906	984	1892	867	937	946	851	899	968	899
954	898	938	976	953	961	1024	929	977	937	930	977	953	953
828	828	789	781	852	844	851	860	820	844	781	836	805	805
672	688	656	687	688	711	679	688	695	735	1390	711	726	727
1016	1000	1000	1000	993	961	1039	1031	1016	1007	1024	1047	1015	1063
976	977	937	1016	1023	1000	1000	977	992	1063	1070	1062	1047	899
711	687	657	640	625	641	672	695	719	734	688	711	734	734
1078	1008	1031	984	891	1000	969	859	1016	906	937	813	851	1922
742	781	758	734	743	757	766	828	750	750	789	766	773	766
711	750	773	742	743	703	742	766	703	742	742	758	758	765
774	796	790	773	797	805	812	797	828	828	828	813	820	820
1094	1148	1157	1101	1008	1125	1109	969	1063	1125	1086	1054	1102	1086
907	922	945	961	914	883	883	906	953	961	922	922	945	953
735	734	703	742	727	734	719	726	711	696	687	696	703	687
969	1047	1000	875	929	1094	1008	898	883	891	836	875	1062	1000
766	742	781	797	812	790	750	757	766	797	805	750	765	766
859	813	805	804	797	836	852	875	875	929	922	1141	1070	1102
688	664	703	711	750	757	758	750	805	812	821	804	758	742
563	570	570	594	562	594	578	563	585	585	579	601	555	586
875	860	875	836	883	921	899	930	953	937	922	953	938	929
1094	1117	1117	1047	1078	1078	1125	1063	1094	1125	1132	1086	1047	1086
875	868	828	859	859	813	859	875	828	844	867	860	828	851
1008	1039	1078	1039	1008	1062	1094	1016	1062	1071	1000	1039	1047	976
